Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/04/11 00:00:00+00,71,57,64,-7.3,1,0,0.08,0,M,240
2020/04/12 00:00:00+00,77,52,64.5,-7,0,0,0,0,M,241
2020/04/13 00:00:00+00,78,59,68.5,-3.3,0,4,0,0,0,242
2020/04/14 00:00:00+00,80,59,69.5,-2.6,0,5,0,0,M,243
2020/04/15 00:00:00+00,83,55,69,-3.4,0,4,0,0,M,244
2020/12/08 00:00:00+00,79,52,65.5,9.5,0,1,0,0,0,245
2020/12/09 00:00:00+00,80,53,66.5,10.7,0,2,0.01,0,0,246
2020/12/10 00:00:00+00,61,52,56.5,0.9,8,0,0.44,0,0,247
2020/12/11 00:00:00+00,65,48,56.5,1,8,0,0,0,0,248
2020/12/12 00:00:00+00,66,47,56.5,1.2,8,0,0,0,0,249
2020/12/13 00:00:00+00,61,40,50.5,-4.6,14,0,0,0,0,250
2020/12/14 00:00:00+00,63,44,53.5,-1.5,11,0,0,0,0,251
2020/12/15 00:00:00+00,62,39,50.5,-4.4,14,0,0,0,0,252
2020/12/16 00:00:00+00,64,40,52,-2.8,13,0,0,0,0,253
2020/12/17 00:00:00+00,63,42,52.5,-2.2,12,0,0,0,0,254
2020/12/18 00:00:00+00,65,40,52.5,-2.2,12,0,0,0,0,255
2020/12/19 00:00:00+00,68,40,54,-0.6,11,0,0,0,0,256
2020/12/20 00:00:00+00,69,40,54.5,-0.1,10,0,0,0,0,257
2020/12/21 00:00:00+00,76,43,59.5,4.9,5,0,0,0,0,258
2020/12/22 00:00:00+00,70,45,57.5,3,7,0,0,0,0,259
2020/12/23 00:00:00+00,69,41,55,0.4,10,0,0,0,0,260
2020/12/24 00:00:00+00,61,38,49.5,-5.1,15,0,0,0,0,261
2020/12/25 00:00:00+00,71,42,56.5,1.9,8,0,0,0,M,262
2020/12/26 00:00:00+00,70,44,57,2.4,8,0,0,0,M,263
2020/12/27 00:00:00+00,71,43,57,2.3,8,0,0,0,M,264
2020/12/28 00:00:00+00,68,50,59,4.3,6,0,0,0,0,265
2020/12/29 00:00:00+00,61,44,52.5,-2.3,12,0,0,0,0,266
2020/12/30 00:00:00+00,65,40,52.5,-2.3,12,0,0,0,0,267
2020/12/31 00:00:00+00,60,41,50.5,-4.4,14,0,0,0,M,268
2020/08/26 00:00:00+00,112,89,100.5,7.5,0,36,0,0,0,269
2020/02/03 00:00:00+00,65,45,55,-3.1,10,0,0,M,M,270
2020/08/27 00:00:00+00,113,89,101,8.1,0,36,0,0,0,271
2020/02/04 00:00:00+00,55,35,45,-13.2,20,0,0,M,M,272
2020/08/28 00:00:00+00,112,90,101,8.2,0,36,0,0,0,273
2020/02/05 00:00:00+00,55,35,45,-13.3,20,0,0,M,M,274
2020/08/29 00:00:00+00,103,83,93,0.3,0,28,T,0,0,275
2020/02/06 00:00:00+00,61,36,48.5,-9.9,16,0,0,M,M,276
2020/08/30 00:00:00+00,103,77,90,-2.5,0,25,0,0,0,277
2020/02/07 00:00:00+00,67,41,54,-4.6,11,0,0,M,M,278
2020/08/31 00:00:00+00,100,78,89,-3.4,0,24,0,0,M,279
2020/02/08 00:00:00+00,72,44,58,-0.7,7,0,0,M,M,280
2020/09/01 00:00:00+00,102,84,93,0.8,0,28,0,0,0,281
2020/02/09 00:00:00+00,76,47,61.5,2.7,3,0,0,M,M,282
2020/09/02 00:00:00+00,102,85,93.5,1.4,0,29,0,0,0,283
2020/02/10 00:00:00+00,72,52,62,3.1,3,0,0.06,M,M,284
